num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,300
graph_size_max,500
graph_size_step,50
graph_variations,3
trials_per_graph,10
stop_duration,0
load_duration,0
timeout,120
ordered_nbhs,"[<function intra_two_opt at 0x0000024C0F6EE700>, <function intra_segment_swap at 0x0000024C0F6EEE50>, <function inter_segment_swap at 0x0000024C0F6EEEE0>, <function inter_two_opt at 0x0000024C0F6EECA0>]"
nbh_change_set,[<function change_nbh_cyclic at 0x0000024C0F6F98B0>]
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,300
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time
300,0,5,15,0,131062,97631,11.12
300,0,5,15,1,135651,95607,14.245
300,0,5,15,2,136751,96144,10.263
300,0,5,15,3,139233,95905,11.8
300,0,5,15,4,131203,93391,13.746
300,0,5,15,5,128573,94207,16.284
300,0,5,15,6,130885,94038,16.759
300,0,5,15,7,132890,96164,15.556
300,0,5,15,8,134808,93505,12.755
300,0,5,15,9,141695,96287,11.361
300,1,5,15,0,137336,94360,15.219
300,1,5,15,1,130743,99263,8.964
300,1,5,15,2,140053,94656,17.798
300,1,5,15,3,135935,92630,11.019
300,1,5,15,4,135298,93964,11.521
300,1,5,15,5,133989,95108,16.036
300,1,5,15,6,132739,94790,13.331
300,1,5,15,7,134598,96824,9.152
300,1,5,15,8,142011,96420,12.768
300,1,5,15,9,135030,95737,10.183
300,2,5,15,0,142587,97809,13.131
300,2,5,15,1,144880,100113,12.319
300,2,5,15,2,141503,97248,15.869
300,2,5,15,3,136401,97427,13.207
300,2,5,15,4,142318,97167,12.36
300,2,5,15,5,140796,96013,15.142
300,2,5,15,6,133599,96930,14.852
300,2,5,15,7,141422,97976,21.013
300,2,5,15,8,139411,97318,14.668
300,2,5,15,9,138152,93211,19.299
350,0,5,15,0,163436,117750,18.116
350,0,5,15,1,165324,116162,13.812
350,0,5,15,2,160706,115588,26.53
350,0,5,15,3,166424,118885,16.028
350,0,5,15,4,160374,116523,15.049
350,0,5,15,5,158815,117932,16.078
350,0,5,15,6,164322,117058,15.537
350,0,5,15,7,161293,116212,13.211
350,0,5,15,8,164305,117731,15.73
350,0,5,15,9,161664,115483,20.311
350,1,5,15,0,152675,111703,14.531
350,1,5,15,1,152278,109251,18.783
350,1,5,15,2,149578,108847,15.632
350,1,5,15,3,159727,110157,22.738
350,1,5,15,4,156353,112722,17.382
350,1,5,15,5,154961,111762,13.758
350,1,5,15,6,149765,108598,23.097
350,1,5,15,7,149600,107348,15.017
350,1,5,15,8,153646,108572,16.756
350,1,5,15,9,157854,112924,17.146
350,2,5,15,0,152027,116550,13.539
350,2,5,15,1,167884,113490,13.454
350,2,5,15,2,161516,114342,15.313
350,2,5,15,3,166786,113226,19.176
350,2,5,15,4,157511,112592,18.99
350,2,5,15,5,159085,112313,18.086
350,2,5,15,6,159375,112342,14.583
350,2,5,15,7,151226,112770,14.026
350,2,5,15,8,158729,111331,17.319
350,2,5,15,9,157958,112671,16.209
400,0,5,15,0,172844,128592,37.62
400,0,5,15,1,178478,131627,23.592
400,0,5,15,2,178877,133434,22.749
400,0,5,15,3,178271,125050,39.013
400,0,5,15,4,186538,128015,23.012
400,0,5,15,5,177608,129010,29.67
400,0,5,15,6,186348,128169,23.368
400,0,5,15,7,175629,127161,29.385
400,0,5,15,8,180197,128163,33.12
400,0,5,15,9,175110,129291,24.956
400,1,5,15,0,173747,125207,31.564
400,1,5,15,1,176285,124354,22.573
400,1,5,15,2,174908,125712,22.006
400,1,5,15,3,175234,125467,22.914
400,1,5,15,4,171261,124354,26.724
400,1,5,15,5,174201,122354,41.073
400,1,5,15,6,172468,125287,22.792
400,1,5,15,7,177569,125377,19.968
400,1,5,15,8,170128,128139,19.309
400,1,5,15,9,179600,127529,22.576
400,2,5,15,0,174348,128254,21.426
400,2,5,15,1,172685,127705,28.162
400,2,5,15,2,179768,129501,22.759
400,2,5,15,3,181175,134488,27.967
400,2,5,15,4,179028,128835,21.124
400,2,5,15,5,180502,132717,22.034
400,2,5,15,6,185638,130590,25.951
400,2,5,15,7,180236,130124,27.918
400,2,5,15,8,178137,126274,27.997
400,2,5,15,9,179200,128944,29.539
450,0,5,15,0,201826,149176,30.673
450,0,5,15,1,202379,147288,32.42
450,0,5,15,2,200999,147231,38.703
450,0,5,15,3,207562,152696,27.872
450,0,5,15,4,207122,145022,26.676
450,0,5,15,5,205175,146092,39.439
450,0,5,15,6,203186,146788,29.538
450,0,5,15,7,205585,144412,52.3
450,0,5,15,8,205525,146707,38.342
450,0,5,15,9,199877,146428,26.135
450,1,5,15,0,204032,151213,27.59
450,1,5,15,1,209462,150270,28.884
450,1,5,15,2,201157,149681,39.119
450,1,5,15,3,207086,147758,23.749
450,1,5,15,4,215767,149889,35.153
450,1,5,15,5,212713,150691,22.579
450,1,5,15,6,205755,147518,27.388
450,1,5,15,7,209626,145217,32.817
450,1,5,15,8,216449,148720,32.951
450,1,5,15,9,203313,146076,41.718
450,2,5,15,0,205210,148481,30.658
450,2,5,15,1,200002,144198,36.496
450,2,5,15,2,197280,142493,29.42
450,2,5,15,3,195300,150528,31.92
450,2,5,15,4,203484,147117,27.841
450,2,5,15,5,199398,146539,37.959
450,2,5,15,6,206692,143650,39.451
450,2,5,15,7,204168,144732,30.805
450,2,5,15,8,200363,143942,42.971
450,2,5,15,9,199939,148494,34.054
500,0,5,15,0,221401,167858,40.727
500,0,5,15,1,225020,164567,38.971
500,0,5,15,2,234419,162039,51.296
500,0,5,15,3,227464,161040,55.615
500,0,5,15,4,219511,164467,32.805
500,0,5,15,5,226860,164809,37.854
500,0,5,15,6,220091,161418,43.803
500,0,5,15,7,230470,165653,51.02
500,0,5,15,8,230201,161291,51.714
500,0,5,15,9,221074,162169,34.058
500,1,5,15,0,232625,168279,42.403
500,1,5,15,1,230198,167851,47.262
500,1,5,15,2,226326,165770,58.247
500,1,5,15,3,228190,165480,39.014
500,1,5,15,4,228166,167203,38.651
500,1,5,15,5,228484,173068,40.719
500,1,5,15,6,229259,172254,31.232
500,1,5,15,7,228352,169582,41.187
500,1,5,15,8,229884,164479,35.419
500,1,5,15,9,227160,163641,42.381
500,2,5,15,0,241418,163830,44.618
500,2,5,15,1,235960,166108,49.061
500,2,5,15,2,241725,168210,34.594
500,2,5,15,3,231228,162872,42.842
500,2,5,15,4,237818,165939,32.729
500,2,5,15,5,236424,163911,33.132
500,2,5,15,6,238993,167941,39.662
500,2,5,15,7,239557,166266,41.929
500,2,5,15,8,234291,164908,39.682
500,2,5,15,9,236204,163970,44.601
